"PROBE_ID"	"SYMBOL"	"1.AVG_Signal"	"1.Detection.Pval"	"1.NARRAYS"	"1.ARRAY_STDEV"	"1.BEAD_STDERR"	"1.Avg_NBEADS"	"2.AVG_Signal"	"2.Detection.Pval"	"2.NARRAYS"	"2.ARRAY_STDEV"	"2.BEAD_STDERR"	"2.Avg_NBEADS"	"3.AVG_Signal"	"3.Detection.Pval"	"3.NARRAYS"	"3.ARRAY_STDEV"	"3.BEAD_STDERR"	"3.Avg_NBEADS"	"4.AVG_Signal"	"4.Detection.Pval"	"4.NARRAYS"	"4.ARRAY_STDEV"	"4.BEAD_STDERR"	"4.Avg_NBEADS"	"5.AVG_Signal"	"5.Detection.Pval"	"5.NARRAYS"	"5.ARRAY_STDEV"	"5.BEAD_STDERR"	"5.Avg_NBEADS"	"6.AVG_Signal"	"6.Detection.Pval"	"6.NARRAYS"	"6.ARRAY_STDEV"	"6.BEAD_STDERR"	"6.Avg_NBEADS"	"7.AVG_Signal"	"7.Detection.Pval"	"7.NARRAYS"	"7.ARRAY_STDEV"	"7.BEAD_STDERR"	"7.Avg_NBEADS"	"8.AVG_Signal"	"8.Detection.Pval"	"8.NARRAYS"	"8.ARRAY_STDEV"	"8.BEAD_STDERR"	"8.Avg_NBEADS"	"9.AVG_Signal"	"9.Detection.Pval"	"9.NARRAYS"	"9.ARRAY_STDEV"	"9.BEAD_STDERR"	"9.Avg_NBEADS"	"10.AVG_Signal"	"10.Detection.Pval"	"10.NARRAYS"	"10.ARRAY_STDEV"	"10.BEAD_STDERR"	"10.Avg_NBEADS"	"11.AVG_Signal"	"11.Detection.Pval"	"11.NARRAYS"	"11.ARRAY_STDEV"	"11.BEAD_STDERR"	"11.Avg_NBEADS"	"12.AVG_Signal"	"12.Detection.Pval"	"12.NARRAYS"	"12.ARRAY_STDEV"	"12.BEAD_STDERR"	"12.Avg_NBEADS"	"13.AVG_Signal"	"13.Detection.Pval"	"13.NARRAYS"	"13.ARRAY_STDEV"	"13.BEAD_STDERR"	"13.Avg_NBEADS"	"14.AVG_Signal"	"14.Detection.Pval"	"14.NARRAYS"	"14.ARRAY_STDEV"	"14.BEAD_STDERR"	"14.Avg_NBEADS"	"15.AVG_Signal"	"15.Detection.Pval"	"15.NARRAYS"	"15.ARRAY_STDEV"	"15.BEAD_STDERR"	"15.Avg_NBEADS"
"ILMN_1662426"	"AP2S1"	3729.003	0	1	NA	190.3893	27	3152.461	0	1	NA	151.292	28	3691.509	0	1	NA	175.5392	29	1697.569	0	1	NA	72.87791	29	2584.543	0	1	NA	127.9798	28	2881.701	0	1	NA	117.1995	15	2583.586	0	1	NA	75.36015	31	3434.95	0	1	NA	133.6919	23	1633.319	0	1	NA	76.09135	25	1770.217	0	1	NA	68.1951	24	3920.272	0	1	NA	215.7255	20	2935.554	0	1	NA	190.135	24	3480.696	0	1	NA	110.6487	27	1925.469	0	1	NA	121.8563	25	2159.027	0	1	NA	68.62516	27
"ILMN_1768867"	"AP3B1"	2039.534	0	1	NA	51.18169	29	1691.879	0	1	NA	62.36631	25	1973.658	0	1	NA	72.64267	23	815.6008	0	1	NA	27.12293	32	1282.084	0	1	NA	47.56703	30	2044.854	0	1	NA	48.26533	46	1723.168	0	1	NA	56.63305	29	2047.117	0	1	NA	82.72069	31	845.8563	0	1	NA	30.33786	30	1083.647	0	1	NA	45.38789	18	2095.077	0	1	NA	63.33932	20	1737.435	0	1	NA	75.33868	23	2083.038	0	1	NA	66.38219	25	905.8117	0	1	NA	24.52735	41	1176.066	0	1	NA	43.40328	29
"ILMN_1764945"	"AP3D1"	578.9182	0	1	NA	22.62874	22	431.3577	0	1	NA	16.15857	24	552.5673	0	1	NA	44.06088	20	273.5045	0	1	NA	15.6859	27	352.3109	0	1	NA	25.59753	21	436.8346	0	1	NA	29.45017	18	382.7817	0	1	NA	24.88309	25	406.7623	0	1	NA	22.12692	23	293.8901	0	1	NA	19.70214	22	267.2118	0	1	NA	19.88309	21	560.4643	0	1	NA	24.73844	21	362.4293	0	1	NA	20.3503	20	468.4643	0	1	NA	23.48536	24	259.0262	0	1	NA	21.07086	18	277.9002	0	1	NA	16.60563	27
"ILMN_2390114"	"AP3D1"	531.9861	0	1	NA	25.4992	26	432.8281	0	1	NA	22.9767	23	422.3364	0	1	NA	25.38492	20	269.5622	0	1	NA	17.69944	24	308.8128	0	1	NA	18.19598	25	455.2668	0	1	NA	14.84856	28	414.2693	0	1	NA	17.21315	20	423.8911	0	1	NA	26.82825	18	281.5506	0	1	NA	13.31735	27	275.4692	0	1	NA	19.27736	32	571.5989	0	1	NA	44.07875	15	426.9988	0	1	NA	30.92649	26	426.8793	0	1	NA	28.38835	28	266.6243	0	1	NA	13.9321	30	299.5614	0	1	NA	18.9761	29
"ILMN_1676946"	"AP3M2"	319.782	0	1	NA	13.854	24	191.6735	0	1	NA	8.956263	16	209.3211	0	1	NA	12.15403	24	177.0651	0	1	NA	9.355167	18	219.2277	0	1	NA	9.902884	26	258.371	0	1	NA	9.15624	19	187.1432	0	1	NA	11.16805	16	205.0678	0	1	NA	9.775143	24	168.5929	0	1	NA	13.18088	17	205.786	0	1	NA	10.90545	22	370.4465	0	1	NA	17.18948	27	186.9066	0	1	NA	8.719036	19	185.2179	0	1	NA	6.677461	16	176.1065	0	1	NA	14.70512	19	177.6895	0	1	NA	9.02788	27
"ILMN_2311761"	"AP3S1"	1204.877	0	1	NA	70.45393	19	1086.753	0	1	NA	78.22121	16	1258.726	0	1	NA	67.78645	21	646.9376	0	1	NA	47.76728	18	827.4518	0	1	NA	70.17993	15	1028.179	0	1	NA	34.08401	32	883.5743	0	1	NA	54.61968	16	920.1055	0	1	NA	54.41779	19	468.6444	0	1	NA	38.35171	16	595.309	0	1	NA	59.70019	14	1207.595	0	1	NA	63.18504	20	1089.697	0	1	NA	69.73579	21	1008.998	0	1	NA	55.72043	28	559.1698	0	1	NA	43.04392	20	680.7888	0	1	NA	33.80235	22
"ILMN_1754531"	"AP4E1"	364.6006	0	1	NA	18.19643	27	316.0148	0	1	NA	16.68912	29	305.3159	0	1	NA	25.28618	17	193.8539	0	1	NA	12.85987	32	250.3039	0	1	NA	9.598734	21	335.0368	0	1	NA	16.64803	13	314.8151	0	1	NA	15.12794	21	322.2276	0	1	NA	12.10838	29	159.3811	0	1	NA	7.807512	26	208.8317	0	1	NA	6.786692	25	340.4203	0	1	NA	16.987	24	344.2298	0	1	NA	13.72743	28	366.0597	0	1	NA	15.50931	30	169.1866	0	1	NA	9.500819	30	244.2751	0	1	NA	9.500742	29
"ILMN_1779512"	"AP4M1"	106.2045	0.1220779	1	NA	8.577644	28	80.27883	0.6415585	1	NA	5.342557	27	99.68484	0.1467533	1	NA	5.563406	31	89.73841	0.2194805	1	NA	6.166567	22	81.04231	0.4116883	1	NA	4.982146	23	97.81925	0.02597403	1	NA	5.123151	25	85.01017	0.1181818	1	NA	5.323778	22	86.81196	0.08051948	1	NA	6.308167	22	81.05798	0.05844156	1	NA	5.787638	19	69.49567	0.4285714	1	NA	4.636392	26	102.1135	0.005194805	1	NA	6.868653	23	79.51285	0.09740259	1	NA	5.810368	20	86.76751	0.02727273	1	NA	7.770039	18	71.092	0.1649351	1	NA	5.233882	24	68.51177	0.3883117	1	NA	3.473463	22
"ILMN_2330948"	"ARF1"	578.5258	0	1	NA	46.07814	20	560.7038	0	1	NA	39.41072	23	574.4677	0	1	NA	32.95245	23	370.7617	0	1	NA	25.8264	17	378.0843	0	1	NA	30.77245	15	489.9698	0	1	NA	29.85238	22	502.1574	0	1	NA	28.67596	20	584.7794	0	1	NA	56.86169	13	373.0262	0	1	NA	30.71685	16	290.7663	0	1	NA	25.19538	18	491.238	0	1	NA	34.26592	18	473.087	0	1	NA	29.58597	14	615.0134	0	1	NA	39.84953	24	365.3006	0	1	NA	34.87419	14	350.9653	0	1	NA	23.50813	20
"ILMN_1802203"	"ARF1"	3382.235	0	1	NA	134.112	26	2985.648	0	1	NA	164.1955	26	3865.896	0	1	NA	234.8735	25	2438.486	0	1	NA	117.1358	23	2510.382	0	1	NA	111.8028	26	2756.907	0	1	NA	127.9038	30	2770.985	0	1	NA	146.2087	27	3424.443	0	1	NA	183.6271	26	1968.638	0	1	NA	89.19192	30	1740.651	0	1	NA	120.8304	19	3703.233	0	1	NA	160.5162	27	3276.136	0	1	NA	147.1459	28	3923.603	0	1	NA	192.4096	29	2322.076	0	1	NA	102.0396	16	2421.723	0	1	NA	113.729	21
"ILMN_1723884"	"ARF4"	2718.148	0	1	NA	107.8778	22	2762.871	0	1	NA	118.01	28	3112.302	0	1	NA	195.0223	16	1082.433	0	1	NA	48.80019	23	1325.912	0	1	NA	50.15772	12	2064.532	0	1	NA	114.4719	21	1862.003	0	1	NA	59.36264	27	2275.917	0	1	NA	104.1197	16	852.2256	0	1	NA	38.12028	25	868.0923	0	1	NA	40.8269	26	2034.979	0	1	NA	99.87684	18	1986.652	0	1	NA	78.75333	21	2436.417	0	1	NA	90.5024	33	1011.683	0	1	NA	49.74671	15	1148.209	0	1	NA	57.33543	19
"ILMN_1719518"	"ARF4"	10779.96	0	1	NA	665.0452	17	9863.63	0	1	NA	762.7021	18	10143.54	0	1	NA	620.0048	16	3374.902	0	1	NA	139.7151	20	4185.187	0	1	NA	206.7459	25	9741.118	0	1	NA	480.7452	23	7946.872	0	1	NA	375.3021	24	9539.798	0	1	NA	489.0854	16	2429.713	0	1	NA	119.3476	21	3004.229	0	1	NA	107.1165	31	10732.79	0	1	NA	432.0053	24	9573.337	0	1	NA	411.7787	24	10423.23	0	1	NA	696.8603	22	3217.144	0	1	NA	171.7949	22	4056.335	0	1	NA	198.1098	28
"ILMN_2406873"	"ARFGAP1"	209.9255	0	1	NA	13.52687	19	182.3114	0	1	NA	9.134131	20	233.5307	0	1	NA	17.11486	26	103.6584	0.03636364	1	NA	5.534441	17	122.5048	0.003896104	1	NA	9.484398	16	144.9606	0	1	NA	10.85664	24	145.6038	0	1	NA	11.07789	24	206.1671	0	1	NA	14.10798	24	109.8681	0	1	NA	12.19821	17	111.0014	0.002597403	1	NA	6.927155	22	213.2226	0	1	NA	23.41274	21	135.6241	0	1	NA	9.138098	23	210.9515	0	1	NA	15.73603	20	98.24778	0	1	NA	9.533984	19	86.01432	0.03506494	1	NA	5.506377	25
"ILMN_1675709"	"ARFGAP1"	620.5589	0	1	NA	23.11718	32	555.9603	0	1	NA	24.8278	33	685.4143	0	1	NA	31.07709	31	226.0191	0	1	NA	13.13845	31	309.7343	0	1	NA	17.41822	23	510.7895	0	1	NA	27.88603	20	488.551	0	1	NA	26.32141	23	659.7307	0	1	NA	31.89528	18	227.3441	0	1	NA	9.669408	32	239.0754	0	1	NA	16.46504	20	697.0204	0	1	NA	27.68781	31	518.1838	0	1	NA	23.44328	23	637.4603	0	1	NA	43.49049	23	167.4712	0	1	NA	10.77333	13	234.3253	0	1	NA	14.82047	24
"ILMN_1769250"	"ARFGAP2"	265.9565	0	1	NA	12.79207	23	199.1026	0	1	NA	11.83338	29	205.6072	0	1	NA	11.58546	27	142.2617	0.001298701	1	NA	5.181467	31	201.8198	0	1	NA	21.20109	16	236.5903	0	1	NA	15.39178	26	189.2472	0	1	NA	8.698771	31	229.9246	0	1	NA	13.76202	23	161.8569	0	1	NA	10.60972	20	121.8819	0.001298701	1	NA	5.752835	12	245.2384	0	1	NA	19.39602	20	192.34	0	1	NA	7.477688	27	217.6889	0	1	NA	10.95343	25	179.148	0	1	NA	12.16619	19	128.6853	0	1	NA	4.882802	20
"ILMN_1731287"	"ARFGAP3"	1051.81	0	1	NA	32.73697	27	939.669	0	1	NA	73.15575	19	1417.398	0	1	NA	65.60165	27	464.1956	0	1	NA	23.5357	26	602.9406	0	1	NA	33.75478	22	941.4377	0	1	NA	37.23503	18	918.833	0	1	NA	39.88505	23	1196.583	0	1	NA	41.73136	24	408.9047	0	1	NA	14.46352	23	427.6066	0	1	NA	24.72825	18	1061.767	0	1	NA	40.45195	31	795.8642	0	1	NA	59.86217	14	1276.931	0	1	NA	73.81053	16	464.0624	0	1	NA	33.65999	19	545.9766	0	1	NA	14.58463	30
"ILMN_1732060"	"ARHGAP1"	1701.738	0	1	NA	56.31703	21	1039.586	0	1	NA	36.66354	29	759.79	0	1	NA	29.117	27	313.6138	0	1	NA	14.39291	15	412.6363	0	1	NA	17.20041	26	1429.999	0	1	NA	82.04964	16	997.4896	0	1	NA	36.96071	29	986.1574	0	1	NA	47.69346	31	313.2788	0	1	NA	8.162078	33	341.6905	0	1	NA	12.41537	26	1654.994	0	1	NA	105.7038	20	1174.281	0	1	NA	46.64152	31	995.1597	0	1	NA	38.32316	22	300.844	0	1	NA	15.02513	34	346.3652	0	1	NA	13.52874	32
"ILMN_1718610"	"ARHGAP17"	647.674	0	1	NA	20.54946	30	478.1483	0	1	NA	22.47814	25	457.7951	0	1	NA	17.43422	36	400.3867	0	1	NA	13.40529	25	422.3248	0	1	NA	16.33179	32	554.4126	0	1	NA	20.45549	24	527.5846	0	1	NA	24.23568	21	524.7617	0	1	NA	18.49841	33	401.6857	0	1	NA	18.10295	20	393.1494	0	1	NA	18.4359	24	659.4809	0	1	NA	31.248	25	480.1249	0	1	NA	17.42054	27	581.5771	0	1	NA	21.53406	25	438.2177	0	1	NA	20.74069	21	415.903	0	1	NA	20.75571	20
"ILMN_1791186"	"ARHGAP18"	189.5646	0	1	NA	12.58049	18	122.1905	0.007792208	1	NA	6.106266	23	97.96595	0.174026	1	NA	7.273075	23	82.44483	0.4051948	1	NA	8.374513	15	89.39503	0.2051948	1	NA	4.693555	23	176.8197	0	1	NA	14.98015	20	94.55123	0.03506494	1	NA	5.40457	22	92.06703	0.03766234	1	NA	5.295927	23	73.56915	0.1909091	1	NA	5.06901	22	84.87541	0.05064935	1	NA	3.535468	27	192.1538	0	1	NA	9.351208	25	105.8236	0	1	NA	5.898848	22	92.90466	0.01168831	1	NA	4.326519	22	70.98182	0.1662338	1	NA	4.574341	28	96.49005	0.01038961	1	NA	5.385319	30
"ILMN_1688953"	"ARHGAP19"	152.1402	0	1	NA	8.176296	19	145.5236	0	1	NA	12.10824	19	135.2393	0.001298701	1	NA	5.384948	29	212.8851	0	1	NA	8.609094	27	297.0615	0	1	NA	19.69521	28	117.4089	0.001298701	1	NA	7.209075	22	134.2594	0	1	NA	7.536256	23	140.9935	0	1	NA	7.202265	27	197.5715	0	1	NA	7.276547	25	257.3936	0	1	NA	15.80376	22	128.5841	0.001298701	1	NA	6.032756	20	143.0235	0	1	NA	8.719765	24	144.3879	0	1	NA	13.12387	19	213.0153	0	1	NA	12.19672	32	241.5451	0	1	NA	13.88358	22
"ILMN_1811592"	"ARHGAP21"	1760.362	0	1	NA	64.60744	22	1107.606	0	1	NA	56.28349	22	1321.694	0	1	NA	70.72083	18	903.9807	0	1	NA	42.06905	20	1077.626	0	1	NA	55.55811	25	1560.874	0	1	NA	53.95918	14	1112.109	0	1	NA	50.18598	23	1164.051	0	1	NA	42.95836	18	835.2448	0	1	NA	38.28951	25	967.8139	0	1	NA	41.91951	16	2461.622	0	1	NA	113.852	19	1205.546	0	1	NA	48.70445	22	1197.754	0	1	NA	62.99257	25	806.5681	0	1	NA	62.0923	16	1060.325	0	1	NA	40.17545	18
"ILMN_1676361"	"ARHGAP22"	323.1635	0	1	NA	12.18507	31	178.8786	0	1	NA	9.735452	22	150.8738	0	1	NA	8.115035	26	138.2364	0.001298701	1	NA	9.129151	18	155.9789	0.001298701	1	NA	7.003606	28	250.1307	0	1	NA	13.61524	23	160.1616	0	1	NA	9.217474	29	159.1732	0	1	NA	7.90193	29	133.2663	0	1	NA	7.713372	21	146.3879	0	1	NA	8.862908	16	279.38	0	1	NA	18.00492	18	168.6001	0	1	NA	11.79473	27	157.5074	0	1	NA	7.878316	22	144.3405	0	1	NA	8.781179	23	148.0799	0	1	NA	7.720528	37
"ILMN_1801833"	"ARHGAP24"	279.0475	0	1	NA	9.522107	34	210.1036	0	1	NA	12.62147	28	166.4441	0	1	NA	9.169032	21	133.4488	0.001298701	1	NA	8.41925	22	158.4313	0.001298701	1	NA	10.89408	19	228.6144	0	1	NA	15.39617	24	147.2149	0	1	NA	7.402794	27	166.6543	0	1	NA	9.300193	32	107.5627	0	1	NA	6.219344	24	121.6704	0.001298701	1	NA	9.12681	21	272.0967	0	1	NA	13.70469	26	190.5823	0	1	NA	9.662216	24	148.834	0	1	NA	6.067014	34	105.2671	0	1	NA	5.557669	23	132.5272	0	1	NA	7.595756	27
"ILMN_1796772"	"ARHGAP28"	191.8881	0	1	NA	6.930225	20	110.1594	0.07142857	1	NA	4.639642	16	116.4823	0.01428571	1	NA	7.627584	19	132.1928	0.001298701	1	NA	12.3023	16	105.2765	0.03246753	1	NA	5.809273	20	198.5321	0	1	NA	12.8542	18	80.12561	0.2051948	1	NA	6.274055	16	88.88324	0.06103896	1	NA	6.336665	20	101.8543	0.001298701	1	NA	4.338572	15	109.1939	0.002597403	1	NA	9.611759	16	190.1748	0	1	NA	8.774547	39	88.01834	0.02597403	1	NA	6.275053	16	98.59249	0.003896104	1	NA	11.1077	15	86.70726	0.01558442	1	NA	3.290607	20	125.8334	0	1	NA	7.731332	25
"ILMN_2290204"	"ARHGAP28"	124.0943	0.005194805	1	NA	5.570961	26	66.80006	0.8493506	1	NA	4.99063	16	57.64523	0.9701298	1	NA	2.276308	7	76.22017	0.5623376	1	NA	6.190558	17	87.28872	0.2454545	1	NA	6.721974	17	130.7525	0.001298701	1	NA	4.829134	29	64.4319	0.6909091	1	NA	5.946398	16	67.1459	0.6207792	1	NA	5.337106	16	52.69249	0.8883117	1	NA	3.234033	21	87.21918	0.03506494	1	NA	10.16498	13	153.1347	0	1	NA	10.4601	21	63.21509	0.5896104	1	NA	4.963599	14	61.73376	0.5948052	1	NA	6.320276	16	68.51713	0.2428571	1	NA	4.918797	19	78.54197	0.1064935	1	NA	5.540932	16
"ILMN_2408851"	"ARHGAP30"	340.6467	0	1	NA	22.29005	20	287.5684	0	1	NA	19.54052	21	208.1227	0	1	NA	6.16357	32	90.11967	0.2142857	1	NA	5.571892	20	93.83436	0.1220779	1	NA	5.945085	17	317.8285	0	1	NA	24.44851	22	242.3682	0	1	NA	16.62934	28	253.6841	0	1	NA	16.51362	22	80.91099	0.05974026	1	NA	5.746531	29	103.6608	0.003896104	1	NA	8.090243	30	379.8068	0	1	NA	24.7668	22	211.2276	0	1	NA	13.80697	34	271.8463	0	1	NA	24.9786	14	81.92616	0.03116883	1	NA	6.074686	18	85.53873	0.03636364	1	NA	6.046038	21
"ILMN_1663916"	"ARHGAP9"	85.98834	0.5389611	1	NA	5.149186	21	95.85653	0.287013	1	NA	11.0598	14	98.90499	0.1571429	1	NA	5.911199	16	165.6651	0	1	NA	20.48467	13	192.0115	0	1	NA	13.22929	17	68.04673	0.6493506	1	NA	6.410412	19	81.60145	0.1662338	1	NA	8.155552	15	82.09429	0.1701299	1	NA	7.308342	20	173.1507	0	1	NA	10.83232	26	158.2463	0	1	NA	11.19251	14	68.12258	0.4077922	1	NA	6.186187	15	79.22929	0.1012987	1	NA	6.706553	15	74.09416	0.1662338	1	NA	5.244025	20	169.7479	0	1	NA	13.7828	17	148.3156	0	1	NA	22.59423	7
